case_id,edge_distance,steps,phase_offset,preconditioning_ticks,overlap_start_tick,stage,stage_tick,global_tick,overlap_started,overlap_node_count,phase_jump_sum,photon_coupling_rate
alpha_case_15,10,24,3,0,5,measure,1,1,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,2,2,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,3,3,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,4,4,False,0,0,0.0
alpha_case_15,10,24,3,0,5,measure,5,5,True,1,4,0.5
alpha_case_15,10,24,3,0,5,measure,6,6,True,3,4,0.16666666666666666
alpha_case_15,10,24,3,0,5,measure,7,7,True,5,8,0.2
alpha_case_15,10,24,3,0,5,measure,8,8,True,7,8,0.14285714285714285
alpha_case_15,10,24,3,0,5,measure,9,9,True,9,0,0.0
alpha_case_15,10,24,3,0,5,measure,10,10,True,11,0,0.0
alpha_case_15,10,24,3,0,5,measure,11,11,True,13,0,0.0
alpha_case_15,10,24,3,0,5,measure,12,12,True,15,0,0.0
alpha_case_15,10,24,3,0,5,measure,13,13,True,17,8,0.058823529411764705
alpha_case_15,10,24,3,0,5,measure,14,14,True,19,8,0.05263157894736842
alpha_case_15,10,24,3,0,5,measure,15,15,True,21,24,0.14285714285714285
alpha_case_15,10,24,3,0,5,measure,16,16,True,23,24,0.13043478260869565
alpha_case_15,10,24,3,0,5,measure,17,17,True,25,0,0.0
alpha_case_15,10,24,3,0,5,measure,18,18,True,27,8,0.037037037037037035
alpha_case_15,10,24,3,0,5,measure,19,19,True,29,12,0.05172413793103448
alpha_case_15,10,24,3,0,5,measure,20,20,True,31,16,0.06451612903225806
alpha_case_15,10,24,3,0,5,measure,21,21,True,33,12,0.045454545454545456
alpha_case_15,10,24,3,0,5,measure,22,22,True,35,24,0.08571428571428572
alpha_case_15,10,24,3,0,5,measure,23,23,True,37,28,0.0945945945945946
alpha_case_15,10,24,3,0,5,measure,24,24,True,39,24,0.07692307692307693
